Key,Value
861,"法师公会是泰姆瑞尔魔法研究的官方中心。大多数主要城镇都有一个公会局，除了学习之外，他们还在那里出售咒语和魔法物品。[/记录]
法师公会是一所学习法术的学校。你必须已经相当不错才能加入，但即使是非会员也可以使用他们的一些服务。[/record]
法师公会正如其名字所暗示的那样。这是一个让各种施法者聚集在一起并互相教导的组织。过去，法师都是孤独的类型。不再了。[/记录]
这只是你认为的那样。一所学校和一个俱乐部，专门为那些已经很优秀的法师而设，让他们变得更好。它已经存在了，哦，至少一千年了。[/结束]","The Mages Guild is the official center of magical study in Tamriel. Most major towns have a bureau of the Guild where they sell spells and magical items, in addition to their studies.[/record]
The Mages Guild is sorta a school for studying spells. You have to already be pretty decent to get in, but even non-members can use some of their services.[/record]
The Mages Guild is pretty much what the name suggests. It's an organization for all varieties of spellcasters to get together and teach each other. Used to be that mages were solitary types. No longer.[/record]
It's just what you think it is. A school and a club for mages who are already pretty good to make them even better. It's been around for, oh, at least a thousand years.[/end]"
873,"朱利安诺斯是智慧和逻辑之神，他的神庙被称为学校。[/记录]
他们并不真正在他的寺庙里崇拜朱利安诺斯，但由于他是智慧之神，他们管理寺庙更像是学院。这就是为什么他们称它们为学校，而不是寺庙。[/记录]
朱利亚诺斯学院是泰姆瑞尔最顶尖的研究机构之一，恐怕仅次于法师公会。事实上，法师们和朱利安诺斯的学者们之间存在着很多竞争。[/结束]","Julianos is the God of Wisdom and Logic, and His temples are called Schools.[/record]
They don't really worship Julianos at His temples, but since He is the God of Wisdom, they run the temples more like academies. That's why they call them Schools, not temples.[/record]
The School of Julianos is one of the top research institutions in Tamriel, probably second only to the Mages Guild. There's a lot of rivalry between the Mages and the scholars of Julianos, actually.[/end]"
894,任何供奉美丽女神的寺庙都被称为迪贝拉之家。里面的祭司和女祭司都是享乐主义者和狂欢者，他们追求形体和心灵之美。[/结束],Any temple dedicated to the Goddess of Beauty is called a House of Dibella. The priests and priestesses within are epicureans and orgiasts who aspire for beauty of the form and mind.[/end]
904,"他是一位勇敢的英雄[/记录]
他们都大喊大叫[/记录]
如此肯定，如此冷静和自信[/记录]
我的朋友，不要马屁精！[/记录]
来吧，我的爱人，让我们一起潇洒吧！[/记录]
一个充满才华的演员[/记录]
他们说你很优雅[/记录]
爱会像常春藤一样生长[/记录]
不是巨人，但永远是蚂蚁[/记录]
各位侄子、侄女、叔叔、阿姨[/完]","He was a brave gallant[/record]
They all rave and rant[/record]
So sure, so calm and confidant[/record]
Be not, my friend, a sycophant![/record]
Come, my love, lets gallivant![/record]
An actor filled with his talent[/record]
They say thou art elegant[/record]
Love will grow like an ivy plant[/record]
No giant, but ever be an ant[/record]
Every nephew, niece, uncle, aunt[/end]"
906,"那是在年中的时候[/记录]
上树吧，亲爱的，让我们爬上去[/记录]
蜥蜴从粘液中爬行[/记录]
请原谅我粗鲁的押韵[/记录]
爱只不过是一种犯罪[/记录]
白色的手沾满最黑的污垢[/记录]
唉，壮年时就死了[/记录]
还能更崇高吗？[/记录]
给我解释一下爱的范式[/记录]
大自然向我们展示了哑剧[/记录]
再一次触摸天空[/记录]
阿卡托什啊，给我更多时间[/结束]","It was at Mid Year time[/record]
Up the tree, my dear, lets climb[/record]
Lizards crawling from the slime[/record]
Excuse my crude rude rhyme[/record]
To love is naught but a crime[/record]
White hands in blackest grime[/record]
To die, alas, in ones prime[/record]
Could it be more sublime?[/record]
Explain to me love's paradigm[/record]
Nature shows us pantomime[/record]
To touch the sky one more time[/record]
O Akatosh, give me more time[/end]"
1400,"您可能有兴趣知道 %fx1 刚刚与 %fx2 结盟。[/record]
我刚刚发现 %fx1 与 %fx2 达成协议。有趣吧？[/记录]
不要传播此消息，但 %fx1 和 %fx2 正在协同工作。[/end]","You might be interested to know that %fx1 has just allied with %fx2.[/record]
I just found out that %fx1 cut a deal with %fx2. Interesting, huh?[/record]
Don't spread this around, but %fx1 and %fx2 are working together.[/end]"
1202,"瘫痪[/中心]
持续时间：%bdr + %adr 每 %cld 级别[/center]
几率：每 %clc 等级 %bch + %ach[/center]
震级：%1bm - %2bm + %1am - %2am[/center]
每 %clm 级别[/中心]
“导致目标瘫痪。[/center]
基本成功几率为 %bch，每 %clc 等级加上 %ach[/center]
施法者的能力。如果成功，目标将陷入瘫痪[/center]
对于 %bdr 轮，加上 %adr[/center]
施法者每 %cld 等级额外轮次，[/center]
除非目标被治愈。”[/center]
[/结尾]","Paralysis[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: %1bm - %2bm + %1am - %2am[/center]
per %clm level(s)[/center]
""Causes target to be paralyzed.[/center]
Base chance of success is %bch, plus %ach every %clc level(s)[/center]
of caster's ability. If successful, target will be paralyzed[/center]
for %bdr round(s), plus %adr[/center]
additional round(s) every %cld level(s) of the the caster,[/center]
unless target is cured.""[/center]
[/end]"
1260,"隐形（普通）[/center]
持续时间：%bdr + %adr 每 %cld 级别[/center]
几率：每 %clc 等级 %bch + %ach[/center]
震级：%1bm - %2bm + %1am - %2am[/center]
每 %clm 级别[/center]
“使目标隐形。[/center]
目标将在 %bdr 轮内保持不可见状态，[/center]
施法者每 %cld 等级加上 %adr 轮。[/center]
如果目标攻击某物，隐形就会被消除。”[/center]
[/结尾]","Invisibility (Normal)[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: %1bm - %2bm + %1am - %2am[/center]
per %clm level(s)[/center]
""Turns target invisible.[/center]
Target will remain invisible for %bdr round(s),[/center]
plus %adr round(s) for every %cld level(s) of caster.[/center]
If target attacks something, invisibility is dispelled.""[/center]
[/end]"
1552,"传递意志力[/中心]
将目标意志力点转移给施法者。[/center]
持续时间：瞬时。[/center]
机会：不适用[/中心]
幅度：转移的点数。[/center]
[/结尾]","Transfer Willpower[/center]
Transfers target Willpower Points to caster.[/center]
Duration: Instantaneous.[/center]
Chance: N/A[/center]
Magnitude: Amount of points transferred.[/center]
[/end]"
1457,"嗯。想不到。[/记录]
据我所知没有。[/记录]
我尽量不传播谣言。[/记录]
因为我没什么好说的...[/结束]","Hmmm. Can't think of any.[/record]
None that I know of.[/record]
I try not to spread rumors.[/record]
Since I have nothing nice to say ...[/end]"
1586,"安抚亡灵[/center]
安抚不死生物。[/center]
持续时间：回合生物保持温顺。[/center]
机会：平定的机会。[/center]
震级：不适用[/中心]
[/结尾]","Pacify Undead[/center]
Pacifies undead creatures.[/center]
Duration: Rounds creature remains docile.[/center]
Chance: Chance of pacification.[/center]
Magnitude: N/A[/center]
[/end]"
2063,"火焰骑士团是高贵的战士[/center]
安提克莱尔领主的。我们的忠诚是[/center]
坚定不移地救了弗莱特勋爵和夫人[/center]
让我们摆脱贝托尼战争后的混乱。[/center]
[/中心]
只有那些因忠诚于 Anticlere 而闻名的人[/center]
我们神圣的赞助人被认为值得[/中心]
加入我们的订单。为了回报他们的忠诚，[/center]
我们的骑士在[/center]被视为名副其实的神
抗皱剂。[/center]
[/中心]
您有兴趣加入吗？[/center]
[/结尾]","The Knights of the Flame are the noble warriors[/center]
of the Lorddom of Anticlere. Our allegiance is[/center]
unswerving to Lord and Lady Flyte, who rescued[/center]
us from the chaos following the War of Betony.[/center]
[/center]
Only those known for their loyalty to Anticlere[/center]
and our blessed patrons are judged worthy to[/center]
join our order. In return for their allegiance,[/center]
our knights are treated as veritable gods in[/center]
Anticlere.[/center]
[/center]
Are you perhaps interested in joining?[/center]
[/end]"
4195,精灵连枷[/结束],an elven flail[/end]
4194,胸甲[/完],a cuirass[/end]
4157,进行治疗和治疗[/结束],perform healings and cures[/end]
3507,"不？如果您改变主意，请返回[/center]
今晚我。明天预兆不会[/center]
请允许我完成这次召唤。[/center]
[/记录]
这确实是一项可怕的事业。如果[/中心]
如果你愿意，你可以今晚晚些时候回来，[/center]
但明天就太晚了[/center]
召唤 Daedra %dts。[/center]
[/结尾]","No? If you change your mind, return to[/center]
me tonight. Tomorrow portents will not[/center]
allow me to complete this summoning.[/center]
[/record]
It is a fearful enterprise indeed. If[/center]
you wish, you can return later tonight,[/center]
but tomorrow will be a day too late to[/center]
summon the Daedra %dts.[/center]
[/end]"
4222,"武器研究[/记录]
研究武器装备[/完]","weapon studies[/record]
studying weaponry[/end]"
106,"你感染了沼泽腐烂病。[/center]
每天你的意志力、敏捷性，[/center]
力量就会下降，直到你[/center]
消瘦或痊愈。[/center]
[/结尾]","You have contracted Swamp Rot.[/center]
Every day your willpower, agility,[/center]
and strength will fall, until you[/center]
waste away or are cured.[/center]
[/end]"
516,"岩石露头点缀着该地区。[/记录]
你经过了几块熔岩巨石。[/记录]
这里的一切都被灰烬覆盖了。[/结束]","Stone outcroppings dot the area.[/record]
You pass several lava boulders.[/record]
Everything here is covered with ash.[/end]"
537,"你经过一个浅沙坑。[/记录]
蝎子的踪迹纵横交错。[/记录]
一声响亮的沙沙声吓了你一跳。[/结束]","You pass a shallow sandy pit.[/record]
Scorpion tracks crisscross the area.[/record]
A loud rustling startles you.[/end]"
752,"啊%pcn，你的名声在前。[/center]
%fon 总是有空间 [/center]
德高望重的熟练骑士。[/center]
我恳请您加入我们的行列。[/center]
[/结尾]","Ah, %pcn, your reputation precedes you.[/center]
%fon always has room for a[/center]
skillful knight of high moral standing.[/center]
I humbly ask that you join our ranks.[/center]
[/end]"
862,"黑暗兄弟会是一个非常神秘的组织，经常被更务实的统治者雇佣为刺客。他们以疯子和迪德拉崇拜者而闻名，但他们一定在做正确的事情。它们已经存在了数千年。[/记录]
一群冒充宗教团体的刺客。[/记录]
他们或多或少是泰姆瑞尔的官方刺客公会。大多数王国都宣布他们为非法组织，但宣布是一回事……[/记录]
他们有点像一个宗教团体，但不像寺庙。想象一下一群牧师，脑子里都是刀子和鲜血。[/结束]","The Dark Brotherhood is a very mysterious organization, often hired as assassins by the more pragmatic rulers. They have a reputation as maniacs and Daedra worshippers, but they must be doing something right. They've been around for thousands of years.[/record]
A bunch of assassins posing as a religious order.[/record]
They're more or less the official Assassin's Guild of Tamriel. Most kingdoms have declared them to be an illegal organization, but it's one thing to make a declaration ...[/record]
They're sorta a religious group, but not like a temple. Imagine a bunch of priests with knives and blood on the mind.[/end]"
875,"凯娜雷斯是空气女神，也是许多地方的守护神，包括匕首落王国。她的寺庙分布广泛，对她的崇拜也很受欢迎。[/记录]
凯纳雷斯神庙崇拜空气女神，据说是她首先给莫里豪斯带来了主的邮件。[/记录]
空气女神的祭司们聚集在一起，向她们的守护神祈祷。[/结束]","Kynareth is the Goddess of the Air, and Patron Spirit of many places, including the kingdom of Daggerfall. Her temples are widespread and her worship popular.[/record]
The Temple of Kynareth worships the Goddess of the Air, the spirit who supposed first gave Morihaus the Lord's Mail.[/record]
The priests and priestesses of the Goddess of the Air gather their to pray to their patroness.[/end]"
876,圆环骑士团是阿尔凯骑士团的保护者和守护者。他们和他的祭司一样献身于他。[/结束],The Knights of the Circle are the protectors and guardians of the Order of Arkay. They are as dedicated to Him as His priests are.[/end]
880,骑士导师是那些必须追随智慧与学问之神朱利安诺斯召唤的人。虽然朱利安诺斯学校负责大部分实际教学，但骑士导师保护圣人并与无处不在的无知势力作斗争。[/结束],"The Knights Mentor are those bound to follow the call of Julianos, the God of Wisdom and Learning. While the Schools of Julianos do most of the actual teaching, the Knights Mentor protect the sages and fight the ubiquitous forces of ignorance.[/end]"
